sentence	sentence_type
je veux partir de Albi-Madeleine pour Velars	from_to
je veux partir de Épernon pour Bayonne	from_to
je veux partir de Nice pour La Possonnière	from_to
je veux partir de St-Jean-de-Verges pour Coutras	from_to
je veux partir de St-Hilaire-de-Chaléons pour Aguilcourt-Variscourt	from_to
je veux partir de Chauny pour Bourg-Madame	from_to
je veux partir de Lussac-les-Châteaux pour Lardenne	from_to
je veux partir de Lubersac pour Foix	from_to
je veux partir de Leucate-la-Franqui pour Varilhes	from_to
je veux partir de Virieu-sur-Bourbre pour Aubie-St-Antoine	from_to
je veux partir de Digoin pour Longpré-les-Corps-Saints	from_to
je veux partir de Novéant pour Paris	from_to
je veux partir de Torfou pour Bailleau-le-Pin	from_to
je veux partir de Niederbronn-les-Bains pour Vimy	from_to
je veux partir de Avallon pour Chamborigaud	from_to
je veux partir de St-Yrieix pour Loreux	from_to
je veux partir de Mont-Dore pour Magnac-Vicq	from_to
je veux partir de Broye pour Nogent-le-Rotrou	from_to
je veux partir de Prades-Molitg-les-Bains pour Peille	from_to
je veux partir de Versaille pour Évian-les-Bains	from_to
je veux partir de Revigny pour Aiserey	from_to
je veux partir de Vieux-Thann pour Monistrol-d'Allier	from_to
je veux partir de Mende pour Le Teich	from_to
je veux partir de La Chaumusse-Fort-du-Plasne pour Le Rouget	from_to
je veux partir de Lozanne pour Teting	from_to
je veux partir de Fleurieux-sur-l'Arbresle pour Rosporden	from_to
je veux partir de Lancerf pour Raismes	from_to
je veux partir de St-Jodard pour La Crèche	from_to
je veux partir de Banassac-La Canourgue pour Fontaines-Mercurey	from_to
je veux partir de St-Denis-des-Murs pour Cannes	from_to
je veux partir de Molinges pour Les Bossons	from_to
je veux partir de Louhans pour Ouges	from_to
je veux partir de Fumay pour Tenay-Hauteville	from_to
je veux partir de Gragnague pour Barjac	from_to
je veux partir de Gunsbach-Griesbach pour Bonneval	from_to
je veux partir de Pagny-sur-Moselle pour Rémy	from_to
je veux partir de Bruyères pour Carcassonne	from_to
je veux partir de Sévérac pour Rosny-sur-Seine	from_to
je veux partir de Keskastel pour Coarraze-Nay	from_to
je veux partir de Marcheprime pour Puyoô	from_to
je veux partir de Beautiran pour Corrèze	from_to
je veux partir de Theillay pour Nerpuy	from_to
je veux partir de Pont-de-l'Arche pour Creil	from_to
je veux partir de Huriel pour Frévin-Capelle	from_to
je veux partir de Bretoncelles pour Mutzig	from_to
je veux partir de La Jonchère pour Marmande	from_to
je veux partir de Brazey-en-Plaine pour Fépin	from_to
je veux partir de Chaumont pour Mervans	from_to
je veux partir de Dieppe pour Lacapelle-Viescamp	from_to
je veux partir de Lingolsheim pour Les Bons-Pères	from_to
je veux partir de Wattignies-Templemars pour Courcy-Brimont	from_to
je veux partir de St-Germain-sur-Ille pour Sarliève-Cournon	from_to
je veux partir de La Teste pour Châtel-Nomexy	from_to
je veux partir de Château-Renault pour Mirecourt	from_to
je veux partir de Lille-Flandres pour Zu-Rhein	from_to
j'aimerais me rendre à Nevers en quittant La Trinité-Victor	to_from
j'aimerais me rendre à St-Aubin-sur-Scie en quittant Muhlbach-sur-Munster	to_from
j'aimerais me rendre à Montaudran en quittant Reims	to_from
j'aimerais me rendre à La Baule-les-Pins en quittant Villedieu-les-Poêles	to_from
j'aimerais me rendre à Druye en quittant Avenay	to_from
j'aimerais me rendre à St-Priest en quittant Régny	to_from
j'aimerais me rendre à Chaponost en quittant Aime-La Plagne	to_from
j'aimerais me rendre à Entzheim en quittant Sierentz	to_from
j'aimerais me rendre à Ambérieu en quittant Rethel	to_from
j'aimerais me rendre à Chevrières en quittant Pléchâtel	to_from
j'aimerais me rendre à Grande-Synthe en quittant Dannes-Camiers	to_from
j'aimerais me rendre à Bains-les-Bains en quittant Gragnague	to_from
j'aimerais me rendre à Bonneval en quittant Keskastel	to_from
j'aimerais me rendre à Périgueux en quittant Senozan	to_from
j'aimerais me rendre à Givors en quittant Bréauté-Beuzeville	to_from
j'aimerais me rendre à Champagne-Ardenne en quittant Le Bruel	to_from
j'aimerais me rendre à Najac en quittant Baroncourt	to_from
j'aimerais me rendre à Trith-St-Léger en quittant Assat	to_from
j'aimerais me rendre à L'Aigle en quittant Pérols	to_from
j'aimerais me rendre à Rully en quittant St-Florentin-Vergigny	to_from
j'aimerais me rendre à Le Burg en quittant Turenne	to_from
j'aimerais me rendre à Valleroy-Moineville en quittant Urmatt	to_from
j'aimerais me rendre à Verneuil-sur-Serre en quittant Pont-à-Vendin	to_from
j'aimerais me rendre à Monestier-de-Clermont en quittant Elne	to_from
j'aimerais me rendre à Le Thor en quittant Longpré-les-Corps-Saints	to_from
j'aimerais me rendre à Calais en quittant La Jarrie	to_from
j'aimerais me rendre à Taconnaz en quittant Marseillan-Plage	to_from
j'aimerais me rendre à Tourville en quittant Balbigny	to_from
j'aimerais me rendre à Dannemarie en quittant Voivres	to_from
j'aimerais me rendre à Bruyères en quittant Ste-Bazeille	to_from
j'aimerais me rendre à Selles-sur-Cher en quittant Soissons	to_from
j'aimerais me rendre à Évron en quittant Quincieux	to_from
j'aimerais me rendre à Bergues en quittant Vauzelles	to_from
j'aimerais me rendre à Petit-Croix en quittant Épernon	to_from
j'aimerais me rendre à Broons en quittant Le Croisic	to_from
j'aimerais me rendre à Meung-sur-Loire en quittant Tende	to_from
j'aimerais me rendre à Vayrac en quittant Hoffen	to_from
j'aimerais me rendre à Fréjus en quittant Pont-de-Sallaumines	to_from
j'aimerais me rendre à Pibrac en quittant Cap-Martin-Roquebrune	to_from
j'aimerais me rendre à Mâlain en quittant Lathus	to_from
j'aimerais me rendre à St-Aubin-sur-Scie en quittant Château-Thierry	to_from
j'aimerais me rendre à St-Sébastien-Frêne-Rond en quittant Gallargues	to_from
j'aimerais me rendre à Avesnelles en quittant Albert	to_from
j'aimerais me rendre à Breteuil en quittant Carnoët-Locarn	to_from
j'aimerais me rendre à Masseret en quittant Ingrandes-sur-Vienne	to_from
j'aimerais me rendre à Livron en quittant Bordeaux	to_from
j'aimerais me rendre à Vichy en quittant Neuillé-Pont-Pierre	to_from
j'aimerais me rendre à Le Bruel en quittant Châtelaudren-Plouagat	to_from
j'aimerais me rendre à Quimperlé en quittant Paris	to_from
j'aimerais me rendre à La Fouillouse en quittant Avignonet	to_from
j'aimerais me rendre à St-Maurice-de-Beynost en quittant Orchamps	to_from
j'aimerais me rendre à Vayres en quittant Thenon	to_from
j'aimerais me rendre à Formerie en quittant Mennetou-sur-Cher	to_from
j'aimerais me rendre à St-Nazaire en quittant Bédarrides	to_from
j'aimerais me rendre à Les Deux Jumeaux en quittant Voivres	to_from
j'aimerais me rendre à Manosque-Gréoux-les-Bains en quittant St-Geniès-de-Malgoirès	to_from
j'aimerais me rendre à Antibes en quittant Tonnay-Charente	to_from
j'aimerais me rendre à Joncherey en quittant Le Cateau	to_from
j'aimerais me rendre à Torfou en quittant Mommenheim	to_from
j'aimerais me rendre à La Madeleine en quittant Jarville-la-Malgrange	to_from
j'aimerais me rendre à Chaulnes en quittant Bouzonville	to_from
j'aimerais me rendre à St-Germain-sur-Ille en quittant Jassonneix	to_from
j'aimerais me rendre à Givet en quittant Laillé	to_from
j'aimerais me rendre à Donzère en quittant Dunkerque	to_from
j'aimerais me rendre à La Porcherie en quittant St-Louis-la-Chaussée	to_from
j'aimerais me rendre à La Joux en quittant Steenbecque	to_from
j'aimerais me rendre à Baraqueville-Carcenac-Peyralès en quittant Mérignac-Arlac	to_from
j'aimerais me rendre à Fouquereuil en quittant Montélimar	to_from
j'aimerais me rendre à Rémilly en quittant Colomiers	to_from
j'aimerais me rendre à Maurois en quittant Azerailles	to_from
j'aimerais me rendre à Gerzat en quittant Aubusson	to_from
j'aimerais me rendre à Pont-d'Ardres en quittant Fréjus	to_from
j'aimerais me rendre à Podensac en quittant Crouy	to_from
j'aimerais me rendre à La Celle-Corrèze en quittant Morières-lès-Avignon	to_from
j'aimerais me rendre à Carnolès en quittant Laqueuille	to_from
j'aimerais me rendre à St-Cyprien-en-Dordogne en quittant La Chaize-le-Vicomte	to_from
j'aimerais me rendre à La Tour-du-Pin en quittant Éloyes	to_from
j'aimerais me rendre à Sées en quittant Milhac-d'Auberoche	to_from
j'aimerais me rendre à Orchamps en quittant Vayres	to_from
j'aimerais me rendre à Houlgate en quittant Marquette	to_from
j'aimerais me rendre à Lille-Porte-de-Douai en quittant Thonon-les-Bains	to_from
j'aimerais me rendre à Villeneuve-sur-Allier en quittant Rothau	to_from
j'aimerais me rendre à Mouchard en quittant Gilley	to_from
j'aimerais me rendre à Vitrolles-Aéroport-Marseille-Provence en quittant Haubourdin	to_from
j'aimerais me rendre à Ste-Léocadie en quittant La Bonneville-sur-Iton	to_from
j'aimerais me rendre à Belleville-Vendée en quittant Osséja	to_from
j'aimerais me rendre à Marseille-en-Beauvaisis en quittant Quédillac	to_from
j'aimerais me rendre à Cap-Martin-Roquebrune en quittant Châlons-en-Champagne	to_from
j'aimerais me rendre à Fourchambault en quittant Zillisheim	to_from
j'aimerais me rendre à Landrecies en quittant Corbie	to_from
j'aimerais me rendre à Port-Brillet en quittant Dorlisheim	to_from
j'aimerais me rendre à Poix-Terron en quittant Albi-Madeleine	to_from
j'aimerais me rendre à Brumath en quittant Grasse	to_from
j'aimerais me rendre à St-Saturnin-d'Avignon en quittant Montrond-les-Bains	to_from
j'aimerais me rendre à Le Dorat en quittant St-Maurice-de-Beynost	to_from
j'aimerais me rendre à Rieux-Angicourt en quittant Rive-de-Gier	to_from
j'aimerais me rendre à Sous-le-Bois en quittant Les Églisottes	to_from
j'aimerais me rendre à Le Grand-Lemps en quittant St-Maurice-de-Beynost	to_from
j'aimerais me rendre à Bersac en quittant Arrou	to_from
j'aimerais me rendre à Thann en quittant St-Blaise-la-Roche-Poutay	to_from
Je quitte Coat-Guégan pour Nouan-le-Fuzelier	from_to
Je quitte Lépin-le-Lac-La Bauche pour Les Cauquillous	from_to
Je quitte Couëron pour Aubagne	from_to
Je quitte La Chapelle-Centre pour Ménil-Flin	from_to
Je quitte Tergnier pour Millas	from_to
Je quitte Nice pour Lunéville	from_to
Je quitte Manosque-Gréoux-les-Bains pour Courcy-Brimont	from_to
Je quitte Pont-de-Lignon pour Mende	from_to
Je quitte Béziers pour Clères	from_to
Je quitte Chamelet pour St-Hilaire-de-Riez	from_to
Je quitte St-Gilles-Croix-de-Vie pour Fontpédrouse-St-Thomas-les-Bains	from_to
Je quitte Salles-Courbatiès pour Montereau	from_to
Je quitte Druye pour Bitschwiller	from_to
Je quitte Vivoin-Beaumont pour Amiens	from_to
Je quitte La Marche pour St-Maurice-de-Beynost	from_to
Je quitte Le Quesnoy pour Montbrison	from_to
Je quitte Roquesérière pour Le Mans	from_to
Je quitte Paray-le-Monial pour Mouy-Bury	from_to
Je quitte Les Aubrais-Orléans pour Labège-Innopole	from_to
Je quitte Ste-Bazeille pour St-Chamas	from_to
Je quitte Bayard pour Banassac-La Canourgue	from_to
Je quitte St-Pierre-en-Faucigny pour Tincques	from_to
Je quitte Irigny-Yvours pour Herrlisheim-près-Colmar	from_to
Je quitte Vire pour Couffoulens-Leuc	from_to
Je quitte Rambouillet pour Chauffailles	from_to
Je quitte Sennecey-le-Grand pour Champigny-sur-Yonne	from_to
Je quitte Siorac-en-Périgord pour Frévin-Capelle	from_to
Je quitte Erdre-Active pour Belvès	from_to
Je quitte Saubusse-les-Bains pour Lyon-Gorge-de-Loup	from_to
Je quitte Chamousset pour Pougny-Chancy	from_to
Je quitte Agay pour Lens	from_to
Je quitte Savy-Berlette pour Ham-en-Artois	from_to
Je quitte St-Ay pour Neuillé-Pont-Pierre	from_to
Je quitte Longpont pour Ollioules-Sanary-sur-Mer	from_to
Je quitte Châteauneuf-Bujaleuf pour St-Clément-Laronxe	from_to
Je quitte Paris pour Bailleul	from_to
Je quitte Pont-à-Mousson pour Pagny-sur-Meuse	from_to
Je quitte Voutré pour St-Geniès-de-Malgoirès	from_to
Je quitte Quédillac pour La Wantzenau	from_to
Je quitte Walbourg pour Maurois	from_to
Je quitte Erstein pour Pléchâtel	from_to
Je quitte Baroncourt pour Brélidy-Plouëc	from_to
Je quitte St-André-de-Corcy pour Vitry-en-Artois	from_to
Je quitte Champagne-Ardenne pour Revigny	from_to
Je quitte Haguenau pour Longueil-Ste-Marie	from_to
Je quitte St-Vallier-sur-Rhône pour Bully-Grenay	from_to
Je quitte St-Brice-sur-Vienne pour Lamothe-Landerron	from_to
Je quitte Lons-le-Saunier pour St-Vincent-le-Château	from_to
Je quitte Tarbes pour Les Aubrais-Orléans	from_to
Je quitte Charbonnières-les-Bains pour Rémilly	from_to
Je quitte Les Fontinettes pour Lille-Porte-de-Douai	from_to
Je quitte Miniac pour Champagnole	from_to
Je quitte Mayet pour Ailly-sur-Somme	from_to
Je quitte Voutré pour Hunspach	from_to
Je quitte Corseul-Languenan pour Houlgate	from_to
Je quitte Vienne pour Bretoncelles	from_to
Je quitte Dijon pour Wimille-Wimereux	from_to
Je quitte Barjac pour Delle	from_to
Je quitte Darsac pour Torpes-Boussières	from_to
Je quitte Villers-sur-Mer pour Loos-en-Gohelle	from_to
Je quitte Le Thor pour Frontignan	from_to
Je quitte Livron pour Nortkerque	from_to
Je quitte Halsou-Larressore pour St-Vallier-sur-Rhône	from_to
Je quitte Bas-Monistrol pour Montreuil-sur-Thérain	from_to
Je quitte Chamonix-Mont-Blanc pour Bruz	from_to
Je quitte Montbarrey pour Massérac	from_to
Je quitte Albens pour Chalonnes	from_to
Je quitte Munchhausen pour Bellegarde	from_to
Je quitte Farébersviller pour Oullins	from_to
Je quitte Peillon-Ste-Thècle pour Loches	from_to
Je quitte Dieppe pour Laroche-Migennes	from_to
Je quitte Bailleul pour St-Saturnin-d'Avignon	from_to
Je quitte Raedersheim pour Poliénas	from_to
Je quitte Agay pour Le Cailar	from_to
Je quitte Lamonzie-St-Martin pour Belleville-sur-Saône	from_to
Je quitte Plestan pour Loivre	from_to
Je quitte Cubzac-les-Ponts pour Gannat	from_to
Je quitte Granville pour Lamothe-Montravel	from_to
Je quitte Anzeling pour Vélines	from_to
Je quitte Mazamet pour Granville	from_to
Je quitte Bagnols-Chadenet pour Pontarlier	from_to
Je quitte Wallers pour Loreux	from_to
Je quitte Muret pour Barenton-Bugny	from_to
Je quitte Coulanges-sur-Yonne pour Orgon	from_to
Je quitte Frontenex pour Montpaon	from_to
Je quitte Bourgoin-Jallieu pour Rosières	from_to
Je quitte Orgon pour La Roche-sur-Foron	from_to
Je quitte Brazey-en-Plaine pour Staffelfelden	from_to
Je quitte Benfeld pour Foucart-Alvimare	from_to
Je quitte Mesves-Bulcy pour Val-de-Reuil	from_to
Je quitte Montaignac-St-Hippolyte pour Thiers	from_to
Je quitte Le Pallet pour Tonneins	from_to
Je quitte Breuil-Romain pour Marseille-en-Beauvaisis	from_to
Je quitte Arras pour Bully-Grenay	from_to
Je quitte Luxé pour Évreux	from_to
Je quitte Aillevillers pour Brandérion	from_to
Je quitte Chasse-sur-Rhône pour Lentilly	from_to
Je quitte Gazeran pour Les Perrières	from_to
Je quitte Toulon pour St-Jacques-de-la-Lande	from_to
Je quitte Liancourt-Rantigny pour Soultz-sous-Forêts	from_to
Quel est le chemin le plus court de Savenay vers St-Jory ?	from_to
Quel est le chemin le plus court de St-Jean-d'Angély vers Esvres ?	from_to
Quel est le chemin le plus court de St-Victurnien vers Loulay ?	from_to
Quel est le chemin le plus court de Froncles vers Estrées-St-Denis ?	from_to
Quel est le chemin le plus court de Perpignan vers Aubagne ?	from_to
Quel est le chemin le plus court de Betton vers Les Ramassiers ?	from_to
Quel est le chemin le plus court de Rieux-Angicourt vers Lexos ?	from_to
Quel est le chemin le plus court de Hangest vers Mauzac ?	from_to
Quel est le chemin le plus court de St-Victurnien vers Gardonne ?	from_to
Quel est le chemin le plus court de Pas-des-Lanciers vers Bruyères ?	from_to
Quel est le chemin le plus court de Pouilly-sur-Loire vers Vandières ?	from_to
Quel est le chemin le plus court de Romilly-la-Puthenaye vers St-Remy-en-l'Eau ?	from_to
Quel est le chemin le plus court de St-Aigulin-La Roche-Chalais vers Gaillac ?	from_to
Quel est le chemin le plus court de La Frayère vers La Bohalle ?	from_to
Quel est le chemin le plus court de Bournezeau vers St-Jean-de-Verges ?	from_to
Quel est le chemin le plus court de Caulnes vers Crépy-en-Valois ?	from_to
Quel est le chemin le plus court de Cérons vers Liévin ?	from_to
Quel est le chemin le plus court de Monnaie vers Villeneuve-la-Guyard ?	from_to
Quel est le chemin le plus court de Watten-Éperlecques vers Vaudagne ?	from_to
Quel est le chemin le plus court de La Gouesnière-Cancale vers Ors ?	from_to
Quel est le chemin le plus court de Joigny vers Dercy-Froidmont ?	from_to
Quel est le chemin le plus court de Montendre vers Nançois-Tronville ?	from_to
Quel est le chemin le plus court de St-Mathurin vers Escaudoeuvres ?	from_to
Quel est le chemin le plus court de Clermont-Ferrand vers St-Aubin-sur-Scie ?	from_to
Quel est le chemin le plus court de Veuves-Monteaux vers Charleville-Mézières ?	from_to
Quel est le chemin le plus court de Schirmeck-La Broque vers Courtalain-St-Pellerin ?	from_to
Quel est le chemin le plus court de Bléré-la-Croix vers Auxonne ?	from_to
Quel est le chemin le plus court de Najac vers Alouette-France ?	from_to
Quel est le chemin le plus court de Ailly-sur-Noye vers Reignac ?	from_to
Quel est le chemin le plus court de Rochefort vers Landerneau ?	from_to
Quel est le chemin le plus court de Châbons vers St-Aubin-St-Luperce ?	from_to
Quel est le chemin le plus court de Mulhouse vers Albigny-Neuville ?	from_to
Quel est le chemin le plus court de Lumes vers St-Julien-Clénay ?	from_to
Quel est le chemin le plus court de Bugeat vers Reichshoffen-Usines ?	from_to
Quel est le chemin le plus court de Delle vers Thiaville ?	from_to
Quel est le chemin le plus court de Pont-de-Dore vers L'Ariane ?	from_to
Quel est le chemin le plus court de Mouans-Sartoux vers Praye-sous-Vaudémont ?	from_to
Quel est le chemin le plus court de Lunel-Viel vers Sérézin ?	from_to
Quel est le chemin le plus court de Freistroff vers Étainhus-St-Romain ?	from_to
Quel est le chemin le plus court de Vesoul vers Épouville ?	from_to
Quel est le chemin le plus court de Bayeux vers Morez ?	from_to
Quel est le chemin le plus court de Labège-Innopole vers Amboise ?	from_to
Quel est le chemin le plus court de Montfort-sur-Meu vers Virieu-le-Grand-Belley ?	from_to
Quel est le chemin le plus court de Aiguebelle vers Chartres ?	from_to
Quel est le chemin le plus court de Buzy-en-Béarn vers Fontainebleau-Avon ?	from_to
Quel est le chemin le plus court de Russ-Hersbach vers Libercourt ?	from_to
Quel est le chemin le plus court de Artix vers Renescure ?	from_to
Quel est le chemin le plus court de Esquelbecq vers Pont-de-Briques ?	from_to
Quel est le chemin le plus court de St-Hilaire vers St-André-de-Cubzac ?	from_to
Quel est le chemin le plus court de Dannemarie-Velesmes vers Paris ?	from_to
Quel est le chemin le plus court de Milhac-d'Auberoche vers Grésy-sur-Aix ?	from_to
Quel est le chemin le plus court de Thésée vers Heilles-Mouchy ?	from_to
Quel est le chemin le plus court de Les Cabrils vers Callac ?	from_to
Quel est le chemin le plus court de Quimperlé vers Hirson-Écoles ?	from_to
Quel est le chemin le plus court de Forbach vers Niort ?	from_to
Quel est le chemin le plus court de Louhans vers Calais-Fréthun ?	from_to
Quel est le chemin le plus court de La Crau vers St-Antoine-du-Rocher ?	from_to
Quel est le chemin le plus court de Bully-Grenay vers Deluz ?	from_to
Quel est le chemin le plus court de Espéraza vers Watten-Éperlecques ?	from_to
Quel est le chemin le plus court de St-Florentin-Vergigny vers Creil ?	from_to
Quel est le chemin le plus court de Allenc vers Véretz-Montlouis ?	from_to
Quel est le chemin le plus court de Courthézon vers Orgon ?	from_to
Quel est le chemin le plus court de Gonfaron vers Aulnat-Aéroport ?	from_to
Quel est le chemin le plus court de Aigues-Mortes vers Frénouville-Cagny ?	from_to
Quel est le chemin le plus court de Brignais vers Lunas ?	from_to
Quel est le chemin le plus court de Écully-la-Demi-Lune vers St-Romain-le-Puy ?	from_to
Quel est le chemin le plus court de Notre-Dame-de-Briançon vers Flers ?	from_to
Quel est le chemin le plus court de St-Roch vers Uzerche ?	from_to
Quel est le chemin le plus court de Les Moutiers-en-Retz vers Nice-St-Augustin ?	from_to
Quel est le chemin le plus court de Touët-de-l'Escarène vers Roppenheim ?	from_to
Quel est le chemin le plus court de Rue vers Lathus ?	from_to
Quel est le chemin le plus court de St-Jean-de-Maurienne-Arvan vers Orchies ?	from_to
Quel est le chemin le plus court de Épouville vers La Rochelle ?	from_to
Quel est le chemin le plus court de Laval-de-Cère vers Gazeran ?	from_to
Quel est le chemin le plus court de Rabastens-Couffouleux vers Chagny ?	from_to
Quel est le chemin le plus court de St-Mesmin vers St-André ?	from_to
Quel est le chemin le plus court de Méricourt-Ribemont vers Novéant ?	from_to
Quel est le chemin le plus court de Longueil-Annel vers Portets ?	from_to
Quel est le chemin le plus court de Carnolès vers Libourne ?	from_to
Quel est le chemin le plus court de Veauche-St-Galmier vers La Coquille ?	from_to
Quel est le chemin le plus court de Port-de-Bouc vers Virieu-sur-Bourbre ?	from_to
Quel est le chemin le plus court de Urmatt vers Allenc ?	from_to
Quel est le chemin le plus court de Fontaines-Mercurey vers Cuinchy ?	from_to
Quel est le chemin le plus court de Laigné-St-Gervais vers Réding ?	from_to
Quel est le chemin le plus court de Beynost vers Bologne ?	from_to
Quel est le chemin le plus court de Caulnes vers Guimiliau ?	from_to
Quel est le chemin le plus court de Origny-en-Thiérache vers Chantonnay ?	from_to
Quel est le chemin le plus court de Chapeauroux vers Colmar-St-Joseph ?	from_to
Quel est le chemin le plus court de St-André-de-Cubzac vers Pont-d'Ain ?	from_to
Quel est le chemin le plus court de Chasse-sur-Rhône vers Ogeu-les-Bains ?	from_to
Quel est le chemin le plus court de St-Thégonnec vers Vigeois ?	from_to
Quel est le chemin le plus court de Valleroy-Moineville vers Veauche-St-Galmier ?	from_to
Quel est le chemin le plus court de Hoenheim-Tram vers Laigneville ?	from_to
Quel est le chemin le plus court de Persan-Beaumont vers St-Étienne-Carnot ?	from_to
Quel est le chemin le plus court de St-Louis vers St-Léonard-de-Noblat ?	from_to
Quel est le chemin le plus court de Reims-Maison-Blanche vers Nyers ?	from_to
Quel est le chemin le plus court de Beuvry vers Plouaret-Trégor ?	from_to
Quel est le chemin le plus court de St-Priest-Taurion vers Bois-le-Roi ?	from_to
Quel est le chemin le plus court de Felletin vers Laillé ?	from_to
Quel est le chemin le plus court de Grésy-sur-Aix vers Kurtzenhouse ?	from_to
Quel est le trajet optimal pour aller à Anor depuis Entraigues-sur-la-Sorgue ?	to_from
Quel est le trajet optimal pour aller à Jonchery-sur-Vesle depuis Corgoloin ?	to_from
Quel est le trajet optimal pour aller à Miribel depuis La Jarrie ?	to_from
Quel est le trajet optimal pour aller à Villeherviers depuis Ambazac ?	to_from
Quel est le trajet optimal pour aller à Bandol depuis Chalonnes ?	to_from
Quel est le trajet optimal pour aller à Metzeral depuis Milly-sur-Thérain ?	to_from
Quel est le trajet optimal pour aller à La Madeleine depuis Corbie ?	to_from
Quel est le trajet optimal pour aller à Jaux depuis Aiserey ?	to_from
Quel est le trajet optimal pour aller à Le Poirier-Université depuis Lentilly ?	to_from
Quel est le trajet optimal pour aller à Artenay depuis Forbach ?	to_from
Quel est le trajet optimal pour aller à Argenton-sur-Creuse depuis Le Valdahon ?	to_from
Quel est le trajet optimal pour aller à Tiercé depuis St-Quentin ?	to_from
Quel est le trajet optimal pour aller à Ambazac depuis Paris ?	to_from
Quel est le trajet optimal pour aller à Avord depuis Le Teil ?	to_from
Quel est le trajet optimal pour aller à Les Aubrais-Orléans depuis Gannes ?	to_from
Quel est le trajet optimal pour aller à Lunery depuis St-Lothain ?	to_from
Quel est le trajet optimal pour aller à Ax-les-Thermes depuis Châlons-en-Champagne ?	to_from
Quel est le trajet optimal pour aller à La Redonne-Ensuès depuis Namps-Quevauvillers ?	to_from
Quel est le trajet optimal pour aller à St-Rambert-d'Albon depuis Ranspach ?	to_from
Quel est le trajet optimal pour aller à Fourmies depuis La Chapelle-Aulnay ?	to_from
Quel est le trajet optimal pour aller à Wisches depuis Pierrelatte ?	to_from
Quel est le trajet optimal pour aller à Pignans depuis Cazères-sur-Garonne ?	to_from
Quel est le trajet optimal pour aller à Plouaret-Trégor depuis Loivre ?	to_from
Quel est le trajet optimal pour aller à La Bassée depuis Maurois ?	to_from
Quel est le trajet optimal pour aller à Jaunay-Clan depuis Dunkerque ?	to_from
Quel est le trajet optimal pour aller à Ham-en-Artois depuis Orgon ?	to_from
Quel est le trajet optimal pour aller à Lisieux depuis Ax-les-Thermes ?	to_from
Quel est le trajet optimal pour aller à Tourville depuis Vincey ?	to_from
Quel est le trajet optimal pour aller à Cousance depuis Serqueux ?	to_from
Quel est le trajet optimal pour aller à St-Patrice depuis Hatrize ?	to_from
Quel est le trajet optimal pour aller à Boulogne-Tintelleries depuis Cantin ?	to_from
Quel est le trajet optimal pour aller à St-Gaudens depuis Fourmies ?	to_from
Quel est le trajet optimal pour aller à Uzerche depuis Ste-Bazeille ?	to_from
Quel est le trajet optimal pour aller à Thann depuis Ste-Foy-la-Grande ?	to_from
Quel est le trajet optimal pour aller à Vaas depuis Nyers ?	to_from
Quel est le trajet optimal pour aller à Brive-la-Gaillarde depuis Vittel ?	to_from
Quel est le trajet optimal pour aller à Boucoiran depuis Fontaines-Mercurey ?	to_from
