episode,reward
4112,164.0
4116,166.0
4120,160.0
4124,161.0
4128,162.0
4132,164.0
4136,168.0
4140,169.0
4144,171.0
4148,174.0
4152,175.0
4156,175.0
4160,175.0
4164,174.0
4168,172.0
4172,172.0
4176,174.0
4180,174.0
4184,176.0
4188,176.0
4192,172.0
4196,174.0
4200,173.0
4204,173.0
4208,169.0
4212,166.0
4216,167.0
4220,171.0
4224,173.0
4228,174.0
4232,173.0
4236,173.0
4240,172.0
4244,172.0
4248,171.0
4252,170.0
4256,173.0
4260,173.0
4264,172.0
4268,171.0
4272,174.0
4276,171.0
4280,169.0
4284,164.0
4288,160.0
4292,163.0
4296,165.0
4300,164.0
4304,163.0
4308,167.0
4312,166.0
4316,168.0
4320,167.0
4324,164.0
4328,163.0
4332,161.0
4336,161.0
4340,161.0
4344,159.0
4348,159.0
4352,158.0
4356,155.0
4360,156.0
4364,158.0
4368,162.0
4372,159.0
4376,163.0
4380,159.0
4384,165.0
4388,168.0
4392,170.0
4396,168.0
4400,169.0
4404,170.0
4408,169.0
4412,171.0
4416,169.0
4420,173.0
4424,174.0
4428,173.0
4432,177.0
4436,176.0
4440,177.0
4444,180.0
4448,180.0
4452,178.0
4456,181.0
4460,180.0
4464,179.0
4468,179.0
4472,181.0
4476,181.0
4480,186.0
4484,183.0
4488,183.0
4492,181.0
4496,184.0
4500,184.0
4504,182.0
4508,184.0
4512,185.0
4516,188.0
4520,187.0
4524,185.0
4528,186.0
4532,186.0
4536,184.0
4540,183.0
4544,182.0
4548,183.0
4552,184.0
4556,180.0
4560,182.0
4564,185.0
4568,180.0
4572,180.0
4576,180.0
4580,180.0
4584,180.0
4588,180.0
4592,178.0
4596,178.0
4600,181.0
4604,183.0
4608,182.0
4612,183.0
4616,177.0
4620,178.0
4624,180.0
4628,177.0
4632,174.0
4636,178.0
4640,179.0
4644,181.0
4648,178.0
4652,180.0
4656,182.0
4660,182.0
4664,181.0
4668,179.0
4672,177.0
4676,178.0
4680,176.0
4684,178.0
4688,180.0
4692,185.0
4696,182.0
4700,181.0
4704,182.0
4708,181.0
4712,181.0
4716,187.0
4720,185.0
4724,186.0
4728,188.0
4732,189.0
4736,188.0
4740,187.0
4744,185.0
4748,187.0
4752,184.0
4756,186.0
4760,183.0
4764,184.0
4768,187.0
4772,190.0
4776,188.0
4780,184.0
4784,184.0
4788,184.0
4792,182.0
4796,185.0
4800,185.0
4804,181.0
4808,180.0
4812,180.0
4816,180.0
4820,180.0
4824,181.0
4828,181.0
4832,181.0
4836,180.0
4840,180.0
4844,177.0
4848,177.0
4852,179.0
4856,176.0
4860,177.0
4864,176.0
4868,177.0
4872,176.0
4876,176.0
4880,178.0
4884,179.0
4888,178.0
4892,176.0
4896,174.0
4900,172.0
4904,175.0
4908,175.0
4912,172.0
4916,171.0
4920,169.0
4924,169.0
4928,170.0
4932,168.0
4936,170.0
4940,169.0
4944,172.0
4948,173.0
4952,172.0
4956,173.0
4960,171.0
4964,171.0
4968,171.0
4972,172.0
4976,172.0
4980,174.0
4984,174.0
4988,175.0
4992,177.0
4996,178.0
5000,177.0
5004,176.0
5008,176.0
5012,176.0
5016,175.0
5020,176.0
5024,175.0
5028,175.0
5032,176.0
5036,175.0
5040,176.0
5044,174.0
5048,172.0
5052,171.0
5056,172.0
5060,175.0
5064,177.0
5068,176.0
5072,172.0
5076,173.0
5080,172.0
5084,171.0
5088,170.0
5092,170.0
5096,165.0
5100,168.0
5104,167.0
5108,166.0
5112,167.0
5116,164.0
5120,166.0
5124,167.0
5128,165.0
5132,164.0
5136,162.0
5140,161.0
5144,163.0
5148,163.0
5152,165.0
5156,165.0
5160,166.0
5164,164.0
5168,164.0
5172,168.0
5176,167.0
5180,168.0
5184,166.0
5188,165.0
5192,164.0
5196,166.0
5200,165.0
5204,168.0
5208,168.0
5212,170.0
5216,174.0
5220,174.0
5224,171.0
5228,174.0
5232,175.0
5236,175.0
5240,174.0
5244,174.0
5248,175.0
5252,172.0
5256,172.0
5260,172.0
5264,173.0
5268,172.0
5272,172.0
5276,172.0
